,Indoor unit cooling state 0,Indoor unit cooling state 1,Indoor unit cooling state 2,Indoor unit cooling state 3,Indoor unit cooling state 4,Indoor unit cooling state 5,Indoor unit cooling state 6,Indoor temperature 0,Indoor temperature 1,Indoor temperature 2,Indoor temperature 3,Indoor temperature 4,Indoor temperature 5,Indoor temperature 6,Compressor frequency 1,Compressor frequency 2,Outdoor unit Condensing temperature,diff(Outdoor unit power),Outdoor unit Evaporating temperature,Outdoor unit fan speed,Compressor discharge pressure,Compressor suction pressure,Outdoor dry bulb temperature,Cooling capacity,delete1
2022-07-30 11:00:00,0.0,81.66666666666667,82.125,0.0,69.53333333333333,36.642857142857146,92.4375,25.427272727272733,23.633333333333336,22.562500000000007,25.37272727272727,24.466666666666672,25.4,24.61875,48.666666666666664,49.333333333333336,37.111111111111114,8.600000000000364,3.3333333333333335,870.8888888888889,2.1444444444444444,0.7911111111111112,32.833333333333336,30.81254575,False
2022-07-30 11:15:00,32.357142857142854,80.8,102.76923076923077,0.0,71.8,53.785714285714285,37.07692307692308,25.071428571428566,23.419999999999998,22.56153846153846,24.83333333333334,24.3,25.51428571428571,24.338461538461537,63.5,39.2,38.0,9.519999999999527,2.85,871.2,2.18,0.78,33.43333333333333,31.459135560000004,False
2022-07-30 11:30:00,0.0,78.5,112.375,0.0,76.6,58.214285714285715,34.2,25.830769230769235,23.191666666666666,22.55,25.491666666666664,24.55333333333333,25.53571428571429,24.419999999999998,41.5,41.4,37.7,8.480000000000473,4.3,850.9,2.16,0.8160000000000001,33.733333333333334,24.80702937,False
2022-07-30 11:45:00,0.0,82.5,102.1875,0.0,116.33333333333333,44.266666666666666,35.5,26.641666666666662,23.466666666666665,22.625000000000007,25.575,24.499999999999996,25.286666666666665,24.47142857142857,52.0,53.09090909090909,38.90909090909091,8.479999999999563,3.0,869.3636363636364,2.2454545454545456,0.7836363636363636,34.166666666666664,29.891689239999994,False
2022-07-30 12:00:00,0.0,80.72727272727273,111.26666666666667,0.0,112.66666666666667,46.63636363636363,41.25,27.35,23.436363636363637,22.493333333333336,25.620000000000005,24.366666666666664,25.318181818181817,24.38333333333333,50.1,50.9,39.0,9.5600000000004,1.95,870.6,2.2600000000000002,0.7529999999999999,34.13333333333333,29.48467953,False
2022-07-30 12:15:00,0.0,86.3,92.64285714285714,0.0,66.33333333333333,55.69230769230769,34.42857142857143,27.890000000000004,23.279999999999998,22.557142857142853,25.55,24.606666666666666,25.36923076923077,24.400000000000006,54.77777777777778,43.666666666666664,38.44444444444444,9.199999999999818,0.8333333333333334,859.7777777777778,2.2111111111111112,0.7255555555555555,34.43333333333333,28.851733250000002,False
2022-07-30 12:30:00,48.266666666666666,84.25,92.13333333333334,0.0,113.6470588235294,42.2,0.0,26.180000000000003,23.275000000000002,22.71333333333333,25.645454545454548,24.435294117647057,25.52,25.425,63.77777777777778,34.333333333333336,37.55555555555556,9.400000000000546,3.2777777777777777,861.5555555555555,2.1666666666666665,0.7922222222222222,33.699999999999996,30.91723517,False
2022-07-30 12:45:00,0.0,83.08333333333333,109.375,0.0,51.714285714285715,47.285714285714285,0.0,25.400000000000006,23.650000000000002,22.5375,25.50833333333333,24.542857142857137,25.685714285714283,26.549999999999994,60.72727272727273,12.090909090909092,33.90909090909091,9.4399999999996,4.0,871.1818181818181,1.9636363636363634,0.81,30.366666666666664,23.16966102,False
2022-07-30 13:00:00,0.0,76.63636363636364,96.13333333333334,0.0,58.214285714285715,58.214285714285715,0.0,26.472727272727273,23.38181818181818,22.606666666666666,25.316666666666674,24.49285714285715,25.414285714285715,27.183333333333326,55.44444444444444,17.11111111111111,33.55555555555556,6.720000000000255,3.888888888888889,859.8888888888889,1.9333333333333336,0.8066666666666666,29.066666666666666,22.53375577,False
2022-07-30 13:15:00,0.0,79.72727272727273,98.0,0.0,66.78571428571429,56.0,0.0,26.941666666666666,23.21818181818182,22.581249999999997,25.336363636363636,24.564285714285717,25.478571428571428,27.724999999999998,61.6,0.0,30.6,5.519999999999527,4.5,473.5,1.7900000000000003,0.826,27.53333333333333,20.9442453,False
